0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,1.9,2,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,2.9,3,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,3.9,4,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,4.9,5,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,5.9,6,6.1,6.2,6.3,6.4,6.5,6.6,6.7,6.8,6.9,7,7.1,7.2,7.3,7.4,7.5,7.6,7.7,7.8,7.9,8,8.1,8.2,8.3,8.4,8.5,8.6,8.7,8.8,8.9,9,9.1,9.2,9.3,9.4,9.5,9.6,9.7,9.8,9.9,10
0.1,0.00032955,0.0006591,0.00098865,0.0013182,0.0016478,0.0019773,0.0023069,0.0026364,0.002966,0.0032955,0.0036251,0.0039546,0.0042842,0.0046137,0.0049433,0.0052728,0.0056024,0.0059319,0.0062615,0.006591,0.0069206,0.0072501,0.0075797,0.0079092,0.0082388,0.0085683,0.0088979,0.0092274,0.009557,0.0098865,0.010216,0.010546,0.010875,0.011205,0.011534,0.011864,0.012193,0.012523,0.012852,0.013182,0.013512,0.013841,0.014171,0.0145,0.01483,0.015159,0.015489,0.015818,0.016148,0.016478,0.016807,0.017137,0.017466,0.017796,0.018125,0.018455,0.018784,0.019114,0.019444,0.019773,0.020103,0.020432,0.020762,0.021091,0.021421,0.02175,0.02208,0.022409,0.022739,0.023069,0.023398,0.023728,0.024057,0.024387,0.024716,0.025046,0.025375,0.025705,0.026035,0.026364,0.026694,0.027023,0.027353,0.027682,0.028012,0.028341,0.028671,0.029,0.02933,0.02966,0.029989,0.030319,0.030648,0.030978,0.031307,0.031637,0.031966,0.032296,0.032626,0.032955
0.2,0.00029293,0.00058587,0.0008788,0.0011717,0.0014647,0.0017576,0.0020505,0.0023435,0.0026364,0.0029293,0.0032223,0.0035152,0.0038081,0.0041011,0.004394,0.0046869,0.0049799,0.0052728,0.0055657,0.0058587,0.0061516,0.0064446,0.0067375,0.0070304,0.0073234,0.0076163,0.0079092,0.0082022,0.0084951,0.008788,0.009081,0.0093739,0.0096668,0.0099598,0.010253,0.010546,0.010839,0.011131,0.011424,0.011717,0.01201,0.012303,0.012596,0.012889,0.013182,0.013475,0.013768,0.014061,0.014354,0.014647,0.01494,0.015233,0.015526,0.015818,0.016111,0.016404,0.016697,0.01699,0.017283,0.017576,0.017869,0.018162,0.018455,0.018748,0.019041,0.019334,0.019627,0.01992,0.020212,0.020505,0.020798,0.021091,0.021384,0.021677,0.02197,0.022263,0.022556,0.022849,0.023142,0.023435,0.023728,0.024021,0.024314,0.024606,0.024899,0.025192,0.025485,0.025778,0.026071,0.026364,0.026657,0.02695,0.027243,0.027536,0.027829,0.028122,0.028415,0.028708,0.029,0.029293
0.3,0.00028247,0.00056494,0.00084742,0.0011299,0.0014124,0.0016948,0.0019773,0.0022598,0.0025423,0.0028247,0.0031072,0.0033897,0.0036721,0.0039546,0.0042371,0.0045196,0.004802,0.0050845,0.005367,0.0056494,0.0059319,0.0062144,0.0064969,0.0067793,0.0070618,0.0073443,0.0076268,0.0079092,0.0081917,0.0084742,0.0087566,0.0090391,0.0093216,0.0096041,0.0098865,0.010169,0.010451,0.010734,0.011016,0.011299,0.011581,0.011864,0.012146,0.012429,0.012711,0.012994,0.013276,0.013559,0.013841,0.014124,0.014406,0.014689,0.014971,0.015254,0.015536,0.015818,0.016101,0.016383,0.016666,0.016948,0.017231,0.017513,0.017796,0.018078,0.018361,0.018643,0.018926,0.019208,0.019491,0.019773,0.020056,0.020338,0.02062,0.020903,0.021185,0.021468,0.02175,0.022033,0.022315,0.022598,0.02288,0.023163,0.023445,0.023728,0.02401,0.024293,0.024575,0.024858,0.02514,0.025423,0.025705,0.025987,0.02627,0.026552,0.026835,0.027117,0.0274,0.027682,0.027965,0.028247
0.4,0.00027752,0.00055503,0.00083255,0.0011101,0.0013876,0.0016651,0.0019426,0.0022201,0.0024976,0.0027752,0.0030527,0.0033302,0.0036077,0.0038852,0.0041627,0.0044403,0.0047178,0.0049953,0.0052728,0.0055503,0.0058278,0.0061054,0.0063829,0.0066604,0.0069379,0.0072154,0.0074929,0.0077705,0.008048,0.0083255,0.008603,0.0088805,0.009158,0.0094356,0.0097131,0.0099906,0.010268,0.010546,0.010823,0.011101,0.011378,0.011656,0.011933,0.012211,0.012488,0.012766,0.013043,0.013321,0.013598,0.013876,0.014153,0.014431,0.014708,0.014986,0.015263,0.015541,0.015818,0.016096,0.016373,0.016651,0.016929,0.017206,0.017484,0.017761,0.018039,0.018316,0.018594,0.018871,0.019149,0.019426,0.019704,0.019981,0.020259,0.020536,0.020814,0.021091,0.021369,0.021646,0.021924,0.022201,0.022479,0.022756,0.023034,0.023311,0.023589,0.023866,0.024144,0.024421,0.024699,0.024976,0.025254,0.025532,0.025809,0.026087,0.026364,0.026642,0.026919,0.027197,0.027474,0.027752
0.5,0.00027463,0.00054925,0.00082388,0.0010985,0.0013731,0.0016478,0.0019224,0.002197,0.0024716,0.0027463,0.0030209,0.0032955,0.0035701,0.0038448,0.0041194,0.004394,0.0046686,0.0049433,0.0052179,0.0054925,0.0057671,0.0060418,0.0063164,0.006591,0.0068656,0.0071403,0.0074149,0.0076895,0.0079641,0.0082388,0.0085134,0.008788,0.0090627,0.0093373,0.0096119,0.0098865,0.010161,0.010436,0.01071,0.010985,0.01126,0.011534,0.011809,0.012084,0.012358,0.012633,0.012907,0.013182,0.013457,0.013731,0.014006,0.014281,0.014555,0.01483,0.015104,0.015379,0.015654,0.015928,0.016203,0.016478,0.016752,0.017027,0.017301,0.017576,0.017851,0.018125,0.0184,0.018675,0.018949,0.019224,0.019498,0.019773,0.020048,0.020322,0.020597,0.020872,0.021146,0.021421,0.021695,0.02197,0.022245,0.022519,0.022794,0.023069,0.023343,0.023618,0.023892,0.024167,0.024442,0.024716,0.024991,0.025266,0.02554,0.025815,0.026089,0.026364,0.026639,0.026913,0.027188,0.027463
0.6,0.00027273,0.00054546,0.0008182,0.0010909,0.0013637,0.0016364,0.0019091,0.0021819,0.0024546,0.0027273,0.0030001,0.0032728,0.0035455,0.0038182,0.004091,0.0043637,0.0046364,0.0049092,0.0051819,0.0054546,0.0057274,0.0060001,0.0062728,0.0065456,0.0068183,0.007091,0.0073638,0.0076365,0.0079092,0.008182,0.0084547,0.0087274,0.0090002,0.0092729,0.0095456,0.0098183,0.010091,0.010364,0.010637,0.010909,0.011182,0.011455,0.011727,0.012,0.012273,0.012546,0.012818,0.013091,0.013364,0.013637,0.013909,0.014182,0.014455,0.014728,0.015,0.015273,0.015546,0.015818,0.016091,0.016364,0.016637,0.016909,0.017182,0.017455,0.017728,0.018,0.018273,0.018546,0.018818,0.019091,0.019364,0.019637,0.019909,0.020182,0.020455,0.020728,0.021,0.021273,0.021546,0.021819,0.022091,0.022364,0.022637,0.022909,0.023182,0.023455,0.023728,0.024,0.024273,0.024546,0.024819,0.025091,0.025364,0.025637,0.02591,0.026182,0.026455,0.026728,0.027,0.027273
0.7,0.00027139,0.00054279,0.00081418,0.0010856,0.001357,0.0016284,0.0018998,0.0021712,0.0024426,0.0027139,0.0029853,0.0032567,0.0035281,0.0037995,0.0040709,0.0043423,0.0046137,0.0048851,0.0051565,0.0054279,0.0056993,0.0059707,0.0062421,0.0065135,0.0067849,0.0070563,0.0073277,0.0075991,0.0078705,0.0081418,0.0084132,0.0086846,0.008956,0.0092274,0.0094988,0.0097702,0.010042,0.010313,0.010584,0.010856,0.011127,0.011399,0.01167,0.011941,0.012213,0.012484,0.012756,0.013027,0.013298,0.01357,0.013841,0.014113,0.014384,0.014655,0.014927,0.015198,0.01547,0.015741,0.016012,0.016284,0.016555,0.016826,0.017098,0.017369,0.017641,0.017912,0.018183,0.018455,0.018726,0.018998,0.019269,0.01954,0.019812,0.020083,0.020355,0.020626,0.020897,0.021169,0.02144,0.021712,0.021983,0.022254,0.022526,0.022797,0.023069,0.02334,0.023611,0.023883,0.024154,0.024426,0.024697,0.024968,0.02524,0.025511,0.025783,0.026054,0.026325,0.026597,0.026868,0.027139
0.8,0.0002704,0.0005408,0.0008112,0.0010816,0.001352,0.0016224,0.0018928,0.0021632,0.0024336,0.002704,0.0029744,0.0032448,0.0035152,0.0037856,0.004056,0.0043264,0.0045968,0.0048672,0.0051376,0.005408,0.0056784,0.0059488,0.0062192,0.0064896,0.00676,0.0070304,0.0073008,0.0075712,0.0078416,0.008112,0.0083824,0.0086528,0.0089232,0.0091936,0.009464,0.0097344,0.010005,0.010275,0.010546,0.010816,0.011086,0.011357,0.011627,0.011898,0.012168,0.012438,0.012709,0.012979,0.01325,0.01352,0.01379,0.014061,0.014331,0.014602,0.014872,0.015142,0.015413,0.015683,0.015954,0.016224,0.016494,0.016765,0.017035,0.017306,0.017576,0.017846,0.018117,0.018387,0.018658,0.018928,0.019198,0.019469,0.019739,0.02001,0.02028,0.02055,0.020821,0.021091,0.021362,0.021632,0.021902,0.022173,0.022443,0.022714,0.022984,0.023254,0.023525,0.023795,0.024066,0.024336,0.024606,0.024877,0.025147,0.025418,0.025688,0.025958,0.026229,0.026499,0.02677,0.02704
0.9,0.00026963,0.00053927,0.0008089,0.0010785,0.0013482,0.0016178,0.0018874,0.0021571,0.0024267,0.0026963,0.002966,0.0032356,0.0035052,0.0037749,0.0040445,0.0043141,0.0045838,0.0048534,0.005123,0.0053927,0.0056623,0.0059319,0.0062016,0.0064712,0.0067408,0.0070104,0.0072801,0.0075497,0.0078193,0.008089,0.0083586,0.0086282,0.0088979,0.0091675,0.0094371,0.0097068,0.0099764,0.010246,0.010516,0.010785,0.011055,0.011325,0.011594,0.011864,0.012133,0.012403,0.012673,0.012942,0.013212,0.013482,0.013751,0.014021,0.014291,0.01456,0.01483,0.015099,0.015369,0.015639,0.015908,0.016178,0.016448,0.016717,0.016987,0.017256,0.017526,0.017796,0.018065,0.018335,0.018605,0.018874,0.019144,0.019414,0.019683,0.019953,0.020222,0.020492,0.020762,0.021031,0.021301,0.021571,0.02184,0.02211,0.02238,0.022649,0.022919,0.023188,0.023458,0.023728,0.023997,0.024267,0.024537,0.024806,0.025076,0.025345,0.025615,0.025885,0.026154,0.026424,0.026694,0.026963
